cycle_type,Date,start_time_sleep,end_time,duration_(s),start_time_oxygen,spo2_%
1.0,2024-09-29,2024-09-29 07:40:00,08:39:30,3570.0,2024-09-29 07:59:00,96.0
1.0,2024-09-29,2024-09-29 07:40:00,08:39:30,3570.0,2024-09-29 07:29:00,97.0
5.0,2024-09-29,2024-09-29 07:07:00,07:29:00,1320.0,2024-09-29 07:29:00,97.0
5.0,2024-09-29,2024-09-29 07:07:00,07:29:00,1320.0,2024-09-29 06:59:00,96.0
3.0,2024-09-29,2024-09-29 07:02:00,07:07:00,300.0,2024-09-29 07:29:00,97.0
3.0,2024-09-29,2024-09-29 07:02:00,07:07:00,300.0,2024-09-29 06:59:00,96.0
2.0,2024-09-29,2024-09-29 07:02:00,07:02:30,30.0,2024-09-29 07:29:00,97.0
2.0,2024-09-29,2024-09-29 07:02:00,07:02:30,30.0,2024-09-29 06:59:00,96.0
3.0,2024-09-29,2024-09-29 06:18:00,07:01:30,2610.0,2024-09-29 06:05:00,98.0
5.0,2024-09-29,2024-09-29 05:48:00,06:18:00,1800.0,2024-09-29 06:05:00,98.0
5.0,2024-09-29,2024-09-29 05:48:00,06:18:00,1800.0,2024-09-29 05:35:00,96.0
3.0,2024-09-29,2024-09-29 04:44:00,05:48:30,3870.0,2024-09-29 04:34:00,98.0
5.0,2024-09-29,2024-09-29 04:06:00,04:43:30,2250.0,2024-09-29 04:34:00,98.0
5.0,2024-09-29,2024-09-29 04:06:00,04:43:30,2250.0,2024-09-29 03:53:00,95.0
3.0,2024-09-29,2024-09-29 03:50:00,04:06:30,990.0,2024-09-29 03:53:00,95.0
3.0,2024-09-29,2024-09-29 03:50:00,04:06:30,990.0,2024-09-29 03:23:00,95.0
4.0,2024-09-29,2024-09-29 03:39:00,03:49:30,630.0,2024-09-29 03:53:00,95.0
4.0,2024-09-29,2024-09-29 03:39:00,03:49:30,630.0,2024-09-29 03:23:00,95.0
3.0,2024-09-29,2024-09-29 03:02:00,03:39:30,2250.0,2024-09-29 03:23:00,95.0
3.0,2024-09-29,2024-09-29 03:02:00,03:39:30,2250.0,2024-09-29 02:53:00,97.0
5.0,2024-09-29,2024-09-29 02:18:00,03:02:00,2640.0,2024-09-29 02:16:00,96.0
3.0,2024-09-29,2024-09-29 02:08:00,02:18:00,600.0,2024-09-29 02:16:00,96.0
3.0,2024-09-29,2024-09-29 02:08:00,02:18:00,600.0,2024-09-29 01:40:00,93.0
4.0,2024-09-29,2024-09-29 02:02:00,02:08:00,360.0,2024-09-29 02:16:00,96.0
4.0,2024-09-29,2024-09-29 02:02:00,02:08:00,360.0,2024-09-29 01:40:00,93.0
3.0,2024-09-29,2024-09-29 01:32:00,02:02:00,1800.0,2024-09-29 01:40:00,93.0
3.0,2024-09-29,2024-09-29 01:32:00,02:02:00,1800.0,2024-09-29 01:10:00,96.0
4.0,2024-09-29,2024-09-29 01:18:00,01:31:30,810.0,2024-09-29 01:40:00,93.0
4.0,2024-09-29,2024-09-29 01:18:00,01:31:30,810.0,2024-09-29 01:10:00,96.0
3.0,2024-09-29,2024-09-29 01:01:00,01:18:00,1020.0,2024-09-29 01:10:00,96.0
3.0,2024-09-29,2024-09-29 01:01:00,01:18:00,1020.0,2024-09-29 00:40:00,96.0
5.0,2024-09-29,2024-09-29 00:53:00,01:01:30,510.0,2024-09-29 01:10:00,96.0
5.0,2024-09-29,2024-09-29 00:53:00,01:01:30,510.0,2024-09-29 00:40:00,96.0
3.0,2024-09-29,2024-09-29 00:39:00,00:53:00,840.0,2024-09-29 00:40:00,96.0
4.0,2024-09-29,2024-09-29 00:22:00,00:39:00,1020.0,2024-09-29 00:40:00,96.0
2.0,2024-09-28,2024-09-28 23:55:00,00:04:00,540.0,2024-09-28 23:29:00,95.0
3.0,2024-09-28,2024-09-28 23:51:00,23:54:30,210.0,2024-09-28 23:29:00,95.0
