stage_type,Date,start_time,end_time,duration_(s),average_spo2,spo2_samples,TWT_(s),TIB_(s),TST_(s),SE_%,Total_REM_(s),Total_NREM_N3_(s),Total_NREM_N1&N2_(s),Total_Wake_(s),TWT_%,REM_%,NREM_N3_%,NREM_N1&N2_%,Wake_%,count_stages,count_stage_1,count_stage_2,count_stage_3,count_stage_4,count_stage_5,max_spo2
3,2024-09-28,23:51:00,23:54:30,210.0,95.0,1,,210.0,210.0,100.0,,,210.0,,,,,1.0,,1,0.0,0.0,1.0,0.0,0.0,95.0
3,2024-09-29,00:04:00,00:22:00,1080.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,00:39:00,00:53:00,840.0,95.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,01:01:00,01:18:00,1020.0,95.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,01:32:00,02:02:00,1800.0,94.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,02:08:00,02:18:00,600.0,95.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,03:02:00,03:39:30,2250.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,03:50:00,04:06:30,990.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,04:44:00,05:48:30,3870.0,95.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
3,2024-09-29,06:18:00,07:01:30,2610.0,95.33333333333331,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,10,2.0,2.0,10.0,4.0,5.0,96.0
