Compile_type,Number_of_layers,Bits,threshold,max_bits,Mean_FP32_accuracy,Mean_disable_accuracy,Mean_simulate_accuracy,FHE_timing
ptq,20,5,7,15,0.9775641025641025,0.9782652243589743,0.9766626602564102,5.312609008948008
ptq,20,5,6,15,0.9770633012820513,0.9724559294871795,0.9719551282051282,2.6951595266660053
ptq,20,5,5,15,0.9771634615384616,0.9073517628205128,0.9073517628205128,2.4124399264653524
ptq,20,5,4,15,0.9775641025641025,0.5870392628205128,0.5688100961538461,2.0399924437204997
ptq,20,5,Exactness.APPROXIMATE,15,0.9760616987179487,0.09745592948717949,0.09745592948717949,1.9258315483729045
ptq,20,5,7,15,0.9775641025641025,0.9782652243589743,0.9766626602564102,4.931353477636973
ptq,20,5,6,15,0.9770633012820513,0.9724559294871795,0.9719551282051282,2.675937883059184
ptq,20,5,5,15,0.9771634615384616,0.9073517628205128,0.9073517628205128,2.393186104297638
ptq,20,5,4,15,0.9775641025641025,0.5870392628205128,0.5688100961538461,2.0580583850542706
ptq,20,5,Exactness.APPROXIMATE,15,0.9760616987179487,0.09745592948717949,0.09745592948717949,1.9070707877477011
ptq,20,5,Exactness.EXACT,-1,-1,-1,-1,-1
ptq,20,5,7,15,0.9788661858974359,0.9783653846153846,0.9767628205128205,4.994058227539062
ptq,20,5,6,15,0.977363782051282,0.9729567307692307,0.9729567307692307,2.6390308936436973
ptq,20,5,5,15,0.9771634615384616,0.948417467948718,0.948417467948718,2.368402810891469
ptq,20,5,4,15,0.9771634615384616,0.703125,0.6956129807692307,2.076515336831411
ptq,20,5,Exactness.APPROXIMATE,15,0.9743589743589743,0.09745592948717949,0.09745592948717949,1.9280346194903055
ptq,20,5,Exactness.EXACT,12,0.9767628205128205,0.09725560897435898,0.09725560897435898,1.4664025068283082
qat,20,4,7,14,0.9620392628205128,0.9719551282051282,0.9719551282051282,5.583628396193187
qat,20,4,6,14,0.9585336538461539,0.969551282051282,0.9660456730769231,2.2203438679377236
qat,20,4,5,14,0.9616386217948718,0.831229967948718,0.831229967948718,1.3852993686993917
qat,20,4,4,14,0.957832532051282,0.7354767628205128,0.7354767628205128,1.269312600294749
qat,20,4,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,20,4,Exactness.EXACT,-1,-1,-1,-1,-1
qat,20,5,7,16,0.9705528846153846,0.9752604166666666,0.9751602564102564,7.011711760361989
qat,20,5,6,16,0.9705528846153846,0.9661458333333334,0.9660456730769231,2.853393880526225
qat,20,5,5,16,0.9721554487179487,0.8954326923076923,0.8833133012820513,2.3101646939913434
qat,20,5,4,16,0.9717548076923077,0.5841346153846154,0.5755208333333334,1.6887565851211548
qat,20,5,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,20,5,Exactness.EXACT,-1,-1,-1,-1,-1
qat,20,3,7,-1,-1,-1,-1,-1
qat,20,3,6,-1,-1,-1,-1,-1
qat,20,3,5,-1,-1,-1,-1,-1
qat,20,3,4,-1,-1,-1,-1,-1
qat,20,3,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
qat,20,3,Exactness.EXACT,-1,-1,-1,-1,-1
ptq,20,,7,-1,-1,-1,-1,-1
ptq,20,,6,-1,-1,-1,-1,-1
ptq,20,,5,-1,-1,-1,-1,-1
ptq,20,,4,-1,-1,-1,-1,-1
ptq,20,,Exactness.APPROXIMATE,-1,-1,-1,-1,-1
ptq,20,,Exactness.EXACT,-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 5, 'method': 'APPROXIMATE'}",-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 5, 'method': 'EXACT'}",-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 6, 'method': 'APPROXIMATE'}",-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 6, 'method': 'EXACT'}",-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 7, 'method': 'APPROXIMATE'}",-1,-1,-1,-1,-1
qat,20,3,"{'n_bits': 7, 'method': 'EXACT'}",-1,-1,-1,-1,-1
