        Layer (type)               Output Shape         Param #
       LeakyReLU-118         [-1, 32, 128, 128]               0
          Conv2d-119         [-1, 32, 128, 128]          36,896
       LeakyReLU-120         [-1, 32, 128, 128]               0
          Conv2d-121         [-1, 32, 128, 128]          46,112
       LeakyReLU-122         [-1, 32, 128, 128]               0
          Conv2d-123         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-124         [-1, 64, 128, 128]               0
            RRDB-125         [-1, 64, 128, 128]               0
          Conv2d-126         [-1, 32, 128, 128]          18,464
       LeakyReLU-127         [-1, 32, 128, 128]               0
          Conv2d-128         [-1, 32, 128, 128]          27,680
       LeakyReLU-129         [-1, 32, 128, 128]               0
          Conv2d-130         [-1, 32, 128, 128]          36,896
       LeakyReLU-131         [-1, 32, 128, 128]               0
          Conv2d-132         [-1, 32, 128, 128]          46,112
       LeakyReLU-133         [-1, 32, 128, 128]               0
          Conv2d-134         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-135         [-1, 64, 128, 128]               0
          Conv2d-136         [-1, 32, 128, 128]          18,464
       LeakyReLU-137         [-1, 32, 128, 128]               0
          Conv2d-138         [-1, 32, 128, 128]          27,680
       LeakyReLU-139         [-1, 32, 128, 128]               0
          Conv2d-140         [-1, 32, 128, 128]          36,896
       LeakyReLU-141         [-1, 32, 128, 128]               0
          Conv2d-142         [-1, 32, 128, 128]          46,112
       LeakyReLU-143         [-1, 32, 128, 128]               0
          Conv2d-144         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-145         [-1, 64, 128, 128]               0
          Conv2d-146         [-1, 32, 128, 128]          18,464
       LeakyReLU-147         [-1, 32, 128, 128]               0
          Conv2d-148         [-1, 32, 128, 128]          27,680
       LeakyReLU-149         [-1, 32, 128, 128]               0
          Conv2d-150         [-1, 32, 128, 128]          36,896
       LeakyReLU-151         [-1, 32, 128, 128]               0
          Conv2d-152         [-1, 32, 128, 128]          46,112
       LeakyReLU-153         [-1, 32, 128, 128]               0
          Conv2d-154         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-155         [-1, 64, 128, 128]               0
            RRDB-156         [-1, 64, 128, 128]               0
          Conv2d-157         [-1, 32, 128, 128]          18,464
       LeakyReLU-158         [-1, 32, 128, 128]               0
          Conv2d-159         [-1, 32, 128, 128]          27,680
       LeakyReLU-160         [-1, 32, 128, 128]               0
          Conv2d-161         [-1, 32, 128, 128]          36,896
       LeakyReLU-162         [-1, 32, 128, 128]               0
          Conv2d-163         [-1, 32, 128, 128]          46,112
       LeakyReLU-164         [-1, 32, 128, 128]               0
          Conv2d-165         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-166         [-1, 64, 128, 128]               0
          Conv2d-167         [-1, 32, 128, 128]          18,464
       LeakyReLU-168         [-1, 32, 128, 128]               0
          Conv2d-169         [-1, 32, 128, 128]          27,680
       LeakyReLU-170         [-1, 32, 128, 128]               0
          Conv2d-171         [-1, 32, 128, 128]          36,896
       LeakyReLU-172         [-1, 32, 128, 128]               0
          Conv2d-173         [-1, 32, 128, 128]          46,112
       LeakyReLU-174         [-1, 32, 128, 128]               0
          Conv2d-175         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-176         [-1, 64, 128, 128]               0
          Conv2d-177         [-1, 32, 128, 128]          18,464
       LeakyReLU-178         [-1, 32, 128, 128]               0
          Conv2d-179         [-1, 32, 128, 128]          27,680
