        Layer (type)               Output Shape         Param #
          Conv2d-512         [-1, 32, 128, 128]          36,896
       LeakyReLU-513         [-1, 32, 128, 128]               0
          Conv2d-514         [-1, 32, 128, 128]          46,112
       LeakyReLU-515         [-1, 32, 128, 128]               0
          Conv2d-516         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-517         [-1, 64, 128, 128]               0
          Conv2d-518         [-1, 32, 128, 128]          18,464
       LeakyReLU-519         [-1, 32, 128, 128]               0
          Conv2d-520         [-1, 32, 128, 128]          27,680
       LeakyReLU-521         [-1, 32, 128, 128]               0
          Conv2d-522         [-1, 32, 128, 128]          36,896
       LeakyReLU-523         [-1, 32, 128, 128]               0
          Conv2d-524         [-1, 32, 128, 128]          46,112
       LeakyReLU-525         [-1, 32, 128, 128]               0
          Conv2d-526         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-527         [-1, 64, 128, 128]               0
            RRDB-528         [-1, 64, 128, 128]               0
          Conv2d-529         [-1, 32, 128, 128]          18,464
       LeakyReLU-530         [-1, 32, 128, 128]               0
          Conv2d-531         [-1, 32, 128, 128]          27,680
       LeakyReLU-532         [-1, 32, 128, 128]               0
          Conv2d-533         [-1, 32, 128, 128]          36,896
       LeakyReLU-534         [-1, 32, 128, 128]               0
          Conv2d-535         [-1, 32, 128, 128]          46,112
       LeakyReLU-536         [-1, 32, 128, 128]               0
          Conv2d-537         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-538         [-1, 64, 128, 128]               0
          Conv2d-539         [-1, 32, 128, 128]          18,464
       LeakyReLU-540         [-1, 32, 128, 128]               0
          Conv2d-541         [-1, 32, 128, 128]          27,680
       LeakyReLU-542         [-1, 32, 128, 128]               0
          Conv2d-543         [-1, 32, 128, 128]          36,896
       LeakyReLU-544         [-1, 32, 128, 128]               0
          Conv2d-545         [-1, 32, 128, 128]          46,112
       LeakyReLU-546         [-1, 32, 128, 128]               0
          Conv2d-547         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-548         [-1, 64, 128, 128]               0
          Conv2d-549         [-1, 32, 128, 128]          18,464
       LeakyReLU-550         [-1, 32, 128, 128]               0
          Conv2d-551         [-1, 32, 128, 128]          27,680
       LeakyReLU-552         [-1, 32, 128, 128]               0
          Conv2d-553         [-1, 32, 128, 128]          36,896
       LeakyReLU-554         [-1, 32, 128, 128]               0
          Conv2d-555         [-1, 32, 128, 128]          46,112
       LeakyReLU-556         [-1, 32, 128, 128]               0
          Conv2d-557         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-558         [-1, 64, 128, 128]               0
            RRDB-559         [-1, 64, 128, 128]               0
          Conv2d-560         [-1, 32, 128, 128]          18,464
       LeakyReLU-561         [-1, 32, 128, 128]               0
          Conv2d-562         [-1, 32, 128, 128]          27,680
       LeakyReLU-563         [-1, 32, 128, 128]               0
          Conv2d-564         [-1, 32, 128, 128]          36,896
       LeakyReLU-565         [-1, 32, 128, 128]               0
          Conv2d-566         [-1, 32, 128, 128]          46,112
       LeakyReLU-567         [-1, 32, 128, 128]               0
          Conv2d-568         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-569         [-1, 64, 128, 128]               0
          Conv2d-570         [-1, 32, 128, 128]          18,464
       LeakyReLU-571         [-1, 32, 128, 128]               0
          Conv2d-572         [-1, 32, 128, 128]          27,680
       LeakyReLU-573         [-1, 32, 128, 128]               0
          Conv2d-574         [-1, 32, 128, 128]          36,896
       LeakyReLU-575         [-1, 32, 128, 128]               0
          Conv2d-576         [-1, 32, 128, 128]          46,112
       LeakyReLU-577         [-1, 32, 128, 128]               0
          Conv2d-578         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-579         [-1, 64, 128, 128]               0
          Conv2d-580         [-1, 32, 128, 128]          18,464
       LeakyReLU-581         [-1, 32, 128, 128]               0
          Conv2d-582         [-1, 32, 128, 128]          27,680
       LeakyReLU-583         [-1, 32, 128, 128]               0
          Conv2d-584         [-1, 32, 128, 128]          36,896
       LeakyReLU-585         [-1, 32, 128, 128]               0
          Conv2d-586         [-1, 32, 128, 128]          46,112
       LeakyReLU-587         [-1, 32, 128, 128]               0
          Conv2d-588         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-589         [-1, 64, 128, 128]               0
            RRDB-590         [-1, 64, 128, 128]               0
          Conv2d-591         [-1, 32, 128, 128]          18,464
       LeakyReLU-592         [-1, 32, 128, 128]               0
          Conv2d-593         [-1, 32, 128, 128]          27,680
       LeakyReLU-594         [-1, 32, 128, 128]               0
          Conv2d-595         [-1, 32, 128, 128]          36,896
       LeakyReLU-596         [-1, 32, 128, 128]               0
          Conv2d-597         [-1, 32, 128, 128]          46,112
       LeakyReLU-598         [-1, 32, 128, 128]               0
          Conv2d-599         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-600         [-1, 64, 128, 128]               0
          Conv2d-601         [-1, 32, 128, 128]          18,464
       LeakyReLU-602         [-1, 32, 128, 128]               0
          Conv2d-603         [-1, 32, 128, 128]          27,680
       LeakyReLU-604         [-1, 32, 128, 128]               0
          Conv2d-605         [-1, 32, 128, 128]          36,896
       LeakyReLU-606         [-1, 32, 128, 128]               0
          Conv2d-607         [-1, 32, 128, 128]          46,112
       LeakyReLU-608         [-1, 32, 128, 128]               0
          Conv2d-609         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-610         [-1, 64, 128, 128]               0
          Conv2d-611         [-1, 32, 128, 128]          18,464
       LeakyReLU-612         [-1, 32, 128, 128]               0
          Conv2d-613         [-1, 32, 128, 128]          27,680
       LeakyReLU-614         [-1, 32, 128, 128]               0
          Conv2d-615         [-1, 32, 128, 128]          36,896
       LeakyReLU-616         [-1, 32, 128, 128]               0
          Conv2d-617         [-1, 32, 128, 128]          46,112
       LeakyReLU-618         [-1, 32, 128, 128]               0
          Conv2d-619         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-620         [-1, 64, 128, 128]               0
            RRDB-621         [-1, 64, 128, 128]               0
          Conv2d-622         [-1, 32, 128, 128]          18,464
       LeakyReLU-623         [-1, 32, 128, 128]               0
          Conv2d-624         [-1, 32, 128, 128]          27,680
       LeakyReLU-625         [-1, 32, 128, 128]               0
          Conv2d-626         [-1, 32, 128, 128]          36,896
       LeakyReLU-627         [-1, 32, 128, 128]               0
          Conv2d-628         [-1, 32, 128, 128]          46,112
       LeakyReLU-629         [-1, 32, 128, 128]               0
          Conv2d-630         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-631         [-1, 64, 128, 128]               0
          Conv2d-632         [-1, 32, 128, 128]          18,464
       LeakyReLU-633         [-1, 32, 128, 128]               0
          Conv2d-634         [-1, 32, 128, 128]          27,680
       LeakyReLU-635         [-1, 32, 128, 128]               0
          Conv2d-636         [-1, 32, 128, 128]          36,896
       LeakyReLU-637         [-1, 32, 128, 128]               0
          Conv2d-638         [-1, 32, 128, 128]          46,112
       LeakyReLU-639         [-1, 32, 128, 128]               0
          Conv2d-640         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-641         [-1, 64, 128, 128]               0
          Conv2d-642         [-1, 32, 128, 128]          18,464
       LeakyReLU-643         [-1, 32, 128, 128]               0
          Conv2d-644         [-1, 32, 128, 128]          27,680
       LeakyReLU-645         [-1, 32, 128, 128]               0
          Conv2d-646         [-1, 32, 128, 128]          36,896
       LeakyReLU-647         [-1, 32, 128, 128]               0
          Conv2d-648         [-1, 32, 128, 128]          46,112
       LeakyReLU-649         [-1, 32, 128, 128]               0
          Conv2d-650         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-651         [-1, 64, 128, 128]               0
            RRDB-652         [-1, 64, 128, 128]               0
          Conv2d-653         [-1, 32, 128, 128]          18,464
       LeakyReLU-654         [-1, 32, 128, 128]               0
          Conv2d-655         [-1, 32, 128, 128]          27,680
       LeakyReLU-656         [-1, 32, 128, 128]               0
          Conv2d-657         [-1, 32, 128, 128]          36,896
       LeakyReLU-658         [-1, 32, 128, 128]               0
          Conv2d-659         [-1, 32, 128, 128]          46,112
       LeakyReLU-660         [-1, 32, 128, 128]               0
          Conv2d-661         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-662         [-1, 64, 128, 128]               0
          Conv2d-663         [-1, 32, 128, 128]          18,464
       LeakyReLU-664         [-1, 32, 128, 128]               0
          Conv2d-665         [-1, 32, 128, 128]          27,680
       LeakyReLU-666         [-1, 32, 128, 128]               0
          Conv2d-667         [-1, 32, 128, 128]          36,896
       LeakyReLU-668         [-1, 32, 128, 128]               0
          Conv2d-669         [-1, 32, 128, 128]          46,112
       LeakyReLU-670         [-1, 32, 128, 128]               0
          Conv2d-671         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-672         [-1, 64, 128, 128]               0
          Conv2d-673         [-1, 32, 128, 128]          18,464
       LeakyReLU-674         [-1, 32, 128, 128]               0
          Conv2d-675         [-1, 32, 128, 128]          27,680
       LeakyReLU-676         [-1, 32, 128, 128]               0
          Conv2d-677         [-1, 32, 128, 128]          36,896
       LeakyReLU-678         [-1, 32, 128, 128]               0
          Conv2d-679         [-1, 32, 128, 128]          46,112
       LeakyReLU-680         [-1, 32, 128, 128]               0
          Conv2d-681         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-682         [-1, 64, 128, 128]               0
            RRDB-683         [-1, 64, 128, 128]               0
          Conv2d-684         [-1, 32, 128, 128]          18,464
       LeakyReLU-685         [-1, 32, 128, 128]               0
          Conv2d-686         [-1, 32, 128, 128]          27,680
       LeakyReLU-687         [-1, 32, 128, 128]               0
          Conv2d-688         [-1, 32, 128, 128]          36,896
       LeakyReLU-689         [-1, 32, 128, 128]               0
          Conv2d-690         [-1, 32, 128, 128]          46,112
       LeakyReLU-691         [-1, 32, 128, 128]               0
          Conv2d-692         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-693         [-1, 64, 128, 128]               0
          Conv2d-694         [-1, 32, 128, 128]          18,464
       LeakyReLU-695         [-1, 32, 128, 128]               0
          Conv2d-696         [-1, 32, 128, 128]          27,680
       LeakyReLU-697         [-1, 32, 128, 128]               0
          Conv2d-698         [-1, 32, 128, 128]          36,896
       LeakyReLU-699         [-1, 32, 128, 128]               0
          Conv2d-700         [-1, 32, 128, 128]          46,112
       LeakyReLU-701         [-1, 32, 128, 128]               0
          Conv2d-702         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-703         [-1, 64, 128, 128]               0
          Conv2d-704         [-1, 32, 128, 128]          18,464
       LeakyReLU-705         [-1, 32, 128, 128]               0
          Conv2d-706         [-1, 32, 128, 128]          27,680
       LeakyReLU-707         [-1, 32, 128, 128]               0
          Conv2d-708         [-1, 32, 128, 128]          36,896
       LeakyReLU-709         [-1, 32, 128, 128]               0
          Conv2d-710         [-1, 32, 128, 128]          46,112
       LeakyReLU-711         [-1, 32, 128, 128]               0
          Conv2d-712         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-713         [-1, 64, 128, 128]               0
            RRDB-714         [-1, 64, 128, 128]               0
          Conv2d-715         [-1, 64, 128, 128]          36,928
          Conv2d-716         [-1, 64, 256, 256]          36,928
       LeakyReLU-717         [-1, 64, 256, 256]               0
          Conv2d-718         [-1, 64, 512, 512]          36,928
       LeakyReLU-719         [-1, 64, 512, 512]               0
          Conv2d-720         [-1, 64, 512, 512]          36,928
       LeakyReLU-721         [-1, 64, 512, 512]               0
          Conv2d-722          [-1, 3, 512, 512]           1,731


